markets,dma,name,bible_minded_ranking,top_bible_minded_y_n,cartodb_id,"marketpop,N,24,15",point_count,point_count_n,point_count_y
PALM SPRINGS,804,PALM SPRINGS,0,,191,423928,1,0,1
,821,"BEND, OR",0,,198,0,0,0,0
TUCSON,789,TUCSON,84,Y,184,1159029,3,3,0
FLORENCE-MYRTLE BEACH,570,FLORENCE-MYRTLE BEACH,0,,69,739356,6,4,2
AUSTIN,635,AUSTIN,47,Y,112,1833997,1,1,0
ALBANY-SCHENECTADY-TROY,532,ALBANY-SCHENECTADY-TROY,100,Y,33,1390884,2,1,1
HARTFORD & NEW HAVEN,533,HARTFORD & NEW HAVEN,93,Y,34,2656999,3,3,0
ST. LOUIS,609,ST. LOUIS,46,Y,91,3119225,7,4,2
CEDAR RAPIDS-WATERLOO&DUBQ,637,CEDAR RAPIDS-WATERLOO&DUBQ,97,Y,114,875553,2,1,1
MEMPHIS,640,MEMPHIS,25,Y,117,1887889,7,4,3
OMAHA,652,OMAHA,73,Y,127,1095572,2,0,2
LIMA,558,LIMA,0,,59,106331,0,0,0
WICHITA-HUTCHINSON PLUS,678,WICHITA-HUTCHINSON PLUS,18,Y,140,1201617,1,1,0
DES MOINES-AMES,679,DES MOINES-AMES,72,Y,141,1100663,2,2,0
JOHNSTOWN-ALTOONA,574,JOHNSTOWN-ALTOONA,0,,72,769751,2,2,0
WILKES BARRE-SCRANTON,577,WILKES BARRE-SCRANTON,82,Y,75,1532334,4,4,0
CHICAGO,602,CHICAGO,78,Y,86,9633607,7,7,0
WACO-TEMPLE-BRYAN,625,WACO-TEMPLE-BRYAN,31,Y,103,976406,4,4,0
KANSAS CITY,616,KANSAS CITY,34,Y,96,2383264,4,2,2
OKLAHOMA CITY,650,OKLAHOMA CITY,14,Y,125,1798380,5,4,1
MADISON,669,MADISON,88,Y,134,955872,0,0,0
WHEELING-STEUBENVILLE,554,WHEELING-STEUBENVILLE,0,,55,383415,1,0,1
HARRISONBURG,569,HARRISONBURG,0,,68,251421,0,0,0
